Emotion,Text
Disgust,trông ?en ?en b?n b?n nhìn phát khi?p
Sadness,?ó là 1 câu chuy?n bu?n
Fear,"con qu? này h?i nh? tao khóc vì nó hoài , th?y nó không dám ?i , b? ???ng ph?i vòng ???ng khác ,"
Enjoyment,ph?i chi có ng??i yêu nh?n tin ng?t ngào nh? này
Disgust,nhìn m?t bé mèo khó ? ghê - _ -
Sadness,tao c?ng có 1 con ?i l?c 1 tu?n xong nó v? b?t cho tao 2 con chu?t làm tao m?t ng? xong hôm sau nó ?i ti?p ?? tao mong nó v? l?m ??
Disgust,ác quá
Enjoyment,lâu lâu ???c nghe truy?n c? tích th?y còn ni?m tin vào cu?c s?ng ????
Enjoyment,tao l?i thích chua lè chua loét ch? :)))
Surprise,nó ?nh h??ng t?i c? th? nh? th? nào v?y ? ?
Enjoyment,chúng ta th?t h?nh phúc và luôn ?i chung v?i nhau su?t ch?n ???ng dài r?i ?ó nà ?
Other,nh? nó không ph?i là tình yêu . khi ?ã là tình yêu thì không gì ?ánh ??i nó c? . con gái k? l? ch? ?ó .
Enjoyment,t th?y d? mà . không bi?t thì h?c khác bi?t . ez vãi
Disgust,"n?u không làm ???c thì ngh? ?i ?? ng??i khác làm . ??ng ?? vì mình mà làm ?nh h??ng ??n uy tín , danh d? , nhân ph?m c?a ch? em trong ngành . ??"
Disgust,"gia ?ình b?n này ch?c c?ng ch? ra cái gì con cái m?i th? , t?i em gái b? ?ánh"
Enjoyment,ôi c?ng c?ng quá
Disgust,dme th?n ?èn ?n theo t?ng ?ài vtc à
Enjoyment,"?ã dùng , nh? quá ngày x?a"
Enjoyment,??n gi?n ??
Sadness,r? ???c crush ?i thì không c?n qua ?ây n?a r?i admin ?iiii :(((
Fear,tình c? g?p nó và ??t nhiên c?m m?t b? ch?y nh? ?iên
Fear,vl b? tao ?ang ? ?ây mà ch?c sáng mai m?i v? m?t ??
Sadness,c?ng th?g quá mà
Fear,"h?i bé ?i mua xôi b? m?t ?àn ng?ng ?u?i ?? may mình ?i xe ??p không thì ?n lol ** v?i chúng nó , cái th? m?t d?y ?????????????????????"
Other,h?i n?m l?p 8 l?p tao b? qu? tr??c sân tr??ng ?ây nguyên l?p luôn
Enjoyment,chân thành và gi?n d? . con yêu m?n tình c?m c?a 2 c?
Other,c? g?ng lên c? nhé !!?
Anger,nh?t h?t m?y thành ph?n hát karaoke ??y vào s?t ?i tr?i
Enjoyment,"có tài nh?ng ?ôi lúc mu?n làm di?n viên hài ??????, khoái thanh niên này bu?n c??i vkl"
Other,cu?c s?ng ??i thay làm lòng ng??i thay ??i . hi?u v?y cho nó vuông
Other,chung quy là hình th?c qu?ng cáo !!!
Other,sao l?i có chuy?n vô l? nh? v?y ???c ch? ??. r?i bé nh? s? nh? th? nào khi ch?ng ki?n b? nó b? ?âm ngay tr??c m?t nó . ngh? ?ã không dám ngh? t?i r?i th?y th??ng bé quá .
Enjoyment,trông anh th?n thái vãi :v
Other,khi b?n th?t lòng v?i ai ?ó . nh?ng ng??i ta coi b?n nh? 1 trò ?ùa
Enjoyment,gi?ng ml em tao h?i n nh? vãi . mu?n ng? v?i m? nh?ng b? tao n?nh n?t b?t lên ng? v?i tao :))
Anger,?? con ?? m? hôm n? ?ang ng? th?ng lol nào hét ?m ?m . mày v? nà hét cha hét m? mày ch? ng? không yên
Other,có t?t c? các v? mày ni?m ???c
Disgust,c?t tóc r?i m?t nh? con heo
Sadness,"bây gi? con ?ã sai vì ?ã ch?a làm gì ???c cho cha , con th?t s? xin l?i cha và m? ,"
Sadness,không th?y không bi?t lòng không ?au
Enjoyment,tán gái hay vãi
Disgust,nhìn ghê vãi . ai nuôi mà ác th?
Other,"?úng . làm gì không quan tr?ng , quan tr?ng là b?n làm ?i?u ?ó v?i ai"
Enjoyment,"x?i t??ng gì , cái này tao làm ???c =)))"
Other,thôi t?t nh?t là ch?u thua ?i . th?ng hay thua c?ng ?âu có ???c gì .
Enjoyment,giao l?u tí không . t? b?m ch? không mua =)))
Surprise,th?ng nào qu?ng cáo xe vãi th?
Sadness,??y m?i là ?i?u càn ?ó . huhu
Enjoyment,h?nh phúc là ?ây ch? ?âu =)))
Other,?ó c?ng là cái c?t lõi cái then ch?t thúc ??y ông phát ti?n sách l??c c?a mình b?ng cái tâm và cái t?m .
Fear,môn này ?éo dành cho nh?ng ng??i chân ng?n nh? tao :) bay qua ch?c l?t m? xu?ng sông ^^
Enjoyment,xem ?i xem l?i v?n hay ;))))))
Enjoyment,per ông cháu không nè kkk
Sadness,có hôm tao ?ang v??ng n? tính b?n vào con h?a mi ?ang ??u trên cành thì ai ng? nó ph?n ?ame ??t thun d?i ng??c vào m?t t? ?ó tao không còn ch?i n?a
Enjoyment,c?ng x?u ~~??
Other,??ng nào thì ?i?u hòa v?n b?t mà .
Sadness,:))) mình s??ng mà mình không bi?t h??ng nhìn l?i nh?ng m?nh ??i b?t h?nh mình ngu?i m?t th?n g?p 100 l?n
Sadness,per ??n con nít chúng ta c?ng không b?ng là sao ......... tu?i th? và tu?i thanh xuân n? chúng ta quá nhi?u th? r?i ????????
Enjoyment,"??y , ch? có sale nh? tao m?i t?t thôi , tao không bao gi? h?i v? n?i ?au c?a khách hàng : x"
Disgust,kinh d? th?t nhìn ngu vãi
Enjoyment,con bé xinh ghê
Enjoyment,kaka cái m?t bà kìa
Anger,lâu lâu t? nhiên ghen m?c dù ?éo là gì c?a nhau ??????
Other,per t? nhiên th?y mình h?i th?t ??c
Fear,t??ng t??ng mà d??i sông có cá s?u n?a ch?c h?t dám ?i
Other,c?n xem cái k?t c?a b?n này
Fear,quá nguy hi?m
Sadness,maii ban thanh nhung nh? cái này không hic ??????????
Other,hoàng th??ng m?c áo ??u lâu m?i s? ch?
Other,tao ch? bao gi? làm th?
Anger,dume th?ng m?t d?y !
Enjoyment,ch?a bao gi? còn yêu nhi?u h?n th? ???? b?i cha m? cho tôi t?t c?
Disgust,cu?n s? vô d?ng nh?t mà tôi t?ng bi?t . ?n gi?i nó không còn n?a
Disgust,có nh?ng ng??i nh? ch? th?t b?o sao ??t n??c không phát tri?n
Fear,má l? té xu?ng 1 cái tao nói lên t?m 8 n?m c?ng ?éo s?ch n?a
Disgust,tao khuyên b?n mày ??ng d?t b?n con gái theo . nó b?t b?n mày cõng nh?y qua ??y :)))
Disgust,"b?nh quá , x?u m?t ng??i dân 1 vùng quê ??ng b?ng b?c b?"
Enjoyment,hai bác h?c nghiêm túc ghê :)))
Disgust,không th?y hay ho gì c?
Anger,bóp dái th?t m?nh xem còn dám sàm s? không
Sadness,m?y ??a chân ng?n qua sao
Disgust,ôi vãi nhìn ?nh gi?t mình ?ám nghi?t súc c??i nhé r?ng !!!!!! ?hs ... ?? ?? ra ?au b?t c? l?n
Other,bác nói v?y thì tao c?ng quì
Disgust,c? th?i tr?c ti?p ra sông thì có x? l? công ngh? m?t tr?ng c?ng bó tay
Disgust,"tao b?o 99 , 99999 % là m?y ông ngoài b?c và ki?u ch?i này c?ng ngoài b?c vì tao c?ng b? ch?i v?y khi còn bé . h thì bình th??ng nh?ng ngh? l?i bu?n ch? không vui ?âu t?i bay . ngoài b?c cách giáo d?c là mi?t th? . ko ??ng ?"
Enjoyment,phim này ? ngh?a l?m
Other,"?nh ??p l?m , nh?ng không có nh?ng ng??i kh? này thì s? ??p h?n ??"
Anger,"thì bác c? tranh lu?n ?i , bác nói ?úng thì mình c?ng ch? nói gì , còn mình th?y cái ki?u c?y nhà m?t ???ng nh?ng t? t??ng nh?n tin kia thì ki?u gì c?ng có ngày s?p m?t ."
Enjoyment,yêu th?
Other,nh?ng v?n t?n t?i nhi?u ??a con gái không nh? v?y mà ??
Surprise,làm sao m?c áo ???c ta ????
Sadness,"ê tao c?ng hay gi? m?y cái linh tinh l?i nh? v?y ?? vài n?m sau m? ra xem l?i có c?m giác hoài ni?m , mà m? tao b?t tao v?t h?t r?i ??"
Enjoyment,?nh ??p quá ??
Sadness,"t không ti?c m?y ly trà s?a , ch? th?y t?i cho m?y cô lao công d?n d?p mà thôi ??"
Enjoyment,ng??i l?n tu?i nhi?u lúc r?t d? th??ng ???
Sadness,sao gi?g v?i mình v . nh?g mình t? b? r?i ng??i ta hình nh? c?ng có ng??i khác . t? ??u là do mình ?o t??g thôi gi? thì t?nh ?i cô gái ?
Anger,tôi ??p cho toè cái m? lun nha
Sadness,có ai ngu nh? tao không ??n ph??ng con nh? c?nh nhà 4 n?m m?c dù nó ng?i chung bàn v?i tao su?t m?y n?m c?p 3 :(((
Disgust,? nhà vênh l?m ?i b? ??i thì y?u ?t vãi
Enjoyment,th??ng m?y anh quá mà tao không ki?m ???c v?n ph?i th? haha
Disgust,b?n vãi
Disgust,???ng c?a nhà n??c co ph?i nhà c? ?âu mà kêu ca
Surprise,sao gi?ng tôi r?a h? ...
Disgust,?m ??c bình lu?n toàn kêu ch?n ngh? khác dume ?ây ?éo ph?i nói t?i cái ngh? mà là nói t?i ? th?c c?a t?i mày ?ó ??u trâu óc chó . n?u ch?n ngh? khác thì dume ai làm công vi?c ?ó ... ngh? ch?n mình mình không ch?n ngh? ???c ... k? c? làm phò nh? t?i mày c?ng v?y
Enjoyment,mai ng??i ta ?i h?c mai tao ?i du l?ch ? la la =)))))))))))))
Fear,có khi nào k?t hôn xong nó gi?t l?y ti?n b?o hi?m không
Fear,nó mà c?n ai 1 phát thì ... ngh? thôi ?ã rùng mình
Enjoyment,mát l?ng l?ng mày ?
Other,m?a l?m các con gi?i ? nhà ng? cho kho? nhé .
Other,n?m nay con bao nhiêu tu?i r?i ? =))
Sadness,vì chúng ta không nên nói chuy?n v?i nhau n?a
Other,tao xin b? sung thêm
Disgust,"ngu và ngang ng??c quen r?i , ch?a t?t nhé"
Enjoyment,có ng??i sinh ra ?ã làm ban giám kh?o anh nhé kk
Sadness,th?t bu?n khi mình th?t v? thang khác mà th?ng khác th?t v? t?ong lai mình
Sadness,hay b? gi?t khô trên ?ó r?i :(
Anger,"?m l? chó bán th?t l?n sán cho các cháu l? ??y ph?i tìm ra và x? t? h?t . loz m? chúng mày vì l?i nhu?n gi?t h?t c? t??ng lai ??t n??c , dume l? chó ch?t"
Sadness,?éo có ng??i th??ng ?? mà làm ?y ch? :(
Enjoyment,"per ch?ng xem ?i , hài l?m"
Disgust,per dume l?n sau có t? tình thì c?ng 1 v?a 2 ph?i thôi
Other,ch?y ngay ?i ???? tr??c khi b?n ch? t?ch vào ?ây và gi? làm con c * c gì ?ó r?i b? coi th??ng và t?i bay ph?i nh?n cái k?t ??y . ????????
Sadness,nh?ng mà t? gi? tr? ?i ?éo ???c ti?p xúc r?iii
Other,"per cùng suy ngh? , và s? c? ?i?n gi?t n?a , gi? c? ng?i cho ch?c ?n ."
Enjoyment,"cái này ? shop ??ng giá 40k aeon có nè , tê t?i dái luôn"
Sadness,ngày bu?n nh?t tr?i ?? c?n m?a :(
Other,không có khúc r?t dt h? .. ??
Disgust,nh? con ?iên :))
Sadness,tao l?i b? m?c lông chân r?i :((
Surprise,sao b?t nhanh th? sáng ??c báo có tin chôm ngân ngàng chi?u ??c báo ?ã b?t ???c r?i
Sadness,m?i l?n tao ?n ?u ?? b?ng thìa thì b? tao l?i ch?i tao . b? tao b?o lo?i mày ?n ?u ?? không c?n thìa ?âu .
Disgust,"vãi c? ng?a m?t :)). l?p lu?n r?t là có cái "" lí "" luôn . ??y , ng?a m?t là sai c? lí r?i nhé m?y ông ?? xe =)))"
Other,mua thu?c ngoài thú y s?c vào vài ngày nó không bám n?a
Sadness,"tao c?ng hay n?m m? con mèo c?a mình nó v? , tao t??ng th?t nên khóc c? trong m? l?n ngoài ??i . nh?ng nó ?âu có th? v? ???c n?a ..."
Sadness,giá mà có ai ?? gi?n :v
Sadness,"chân ta c?ng là chân ?i và gi? b? ??t dây ch?ng , n?m m?t ch? ??i m? r?i mày . ??ng c?m vãi"
Sadness,"ai ? g?n ?ó xin hãy giúp chú , th??ng chú"
Enjoyment,cu?i ngày hình ?nh c?a ông bà là ??p nh?t ... chúc ông bà mãi h?nh phúc s?ng th?t lâu lâu nhé ??????
Other,c?t nh? anh này g?n gàng thoáng mát nhé auto ??p trai
Other,"có th? x??ng c?a mày nó b? giòn , xu?t vi?n nh? b? sug thêm nhi?u canxi nhé"
Other,per 1 l?n ch?i l?n xem em có tr?m tr?
Enjoyment,xin l?i mày nh?ng tao ??c bu?n c??i
Sadness,tr?i qua m?t cu?c b? dâu . nh?ng ?i?u trông th?y mà ?au ??n lòng
Other,t ngh? th?ng châu phi kia nó r?t nhi?u ti?n
Anger,per ?i ?âu c?ng nghe bài này ri?t mu?n t?t d?p cho r?i
Disgust,nhìn th?y ghét ...
Disgust,per xàm lol giáo d?c ?éo gì
Anger,per bi?t phân bi?t ph?i trái không v?y ??? và có bi?t ?? nh? th? nào là ?úng lu?t không ???
Sadness,chán m?y ông thanh niên .
Disgust,tr? trâu th?i nào c?ng có thông c?m ?i
Other,c?ng là ch? em nó làm nhà tr? nên ch?u thôi
Disgust,b?t ???c r?i cho b?n này ?i ch?t ?i ?? chúng nó s?ng r?i làm h?i ng??i khác
Anger,??t cháy túi ti?n thì ? nhà cho r?i . xem chi không bi?t
Enjoyment,per có th?ng b? tao b?n t? ?ó không th?y h?a mi hót n?a luôn
Enjoyment,"hôm qua tôi ?i grab g?p ???c b?n ??p trai , th?m ph?c nè . có cô gái nào có h?ng thú hem ?"
Enjoyment,??p quá v ????
Other,:) th? trong tr??ng h?p này thì sao ? có nhi?u xe l?m ?âu c?
Fear,lo cho thang bé l? r?t ?i?n tho?i xu?ng n??c thì ....
Other,per d?m ba cái con nh?n :)))))
Other,?a r?i chân m?t khúc nh? tao nh?y ki?u gì ? ??
Other,trong 1 n?m ?ó b? m? ông cho ông 10 t? ?? là tiêu v?t và 1 con lám b? ?? ?i giao hàng
Disgust,k ch?m ???c thì ??ng nuôi nhìn t?i quá ??
Sadness,"có hôm nó lo ??c cho mình nên không chép k?p bài , cô giáo b?t ph?t ?ánh ?òn c? hai ??a . n?m sau b?n í chuy?n tr??ng m?t , nh? b?n quá !"
Fear,"??ng ám tao n?a , s? l?m"
Other,tao g?i t? ngã t? ??ng ??i c? mà ?i xa vãi
Disgust,"l? kì th?t , m?t kì thi quan tr?ng nh? v?y mà v? nh?m ?? ???c ."
Sadness,??nh m?nh tao l?i quên mang áo m?a
Sadness,chia bu?n cùng ng??i dân và ??t n??c pháp
Enjoyment,"per mày ?i trò này l?i h?i nè áp d?ng ngay :"")))"
Sadness,per :))) không bù cho nh?ng ng??i nh? cta
Enjoyment,ôi gu mình !! mà phim lâu quá rùi gi? mà ?óng l?i b?n khác thì không bi?t sao haaa
Sadness,"gi?ng h?t mình , nh?ng b?n may m?n h?n vì bên này quy?t tr?n n? t?n cùng"
Anger,"?éo m? b?nh vi?n ch? có ph?i ch? g?i xe ?âu , nó niêm y?t rõ ràng nh? th? kêu ca cái gì"
Surprise,per ngày mai là ngày gì mà ra l?m phim v?y b?n ?
Sadness,"??c gì con v? v?i m? .... ??i m?y tháng r?i v?n ch?a th?y bóng dáng con , mong con v?n s?ng ..."
Other,ch?t ?ó có làm m?m não không ?
Other,em này có c?o lông không ta sao nhìn lông ng?n quá
Sadness,"ngày nào c?ng th?y tàu tr?t bánh , khá bu?n"
Disgust,tao th?y nh?m quá
Surprise,y t? 24tr tháng á ???? kinh v?y ???
Disgust,"th? mày l?i ghép nh?c vào làm gì cho con bé b? tán m?y ch?c cái , mày ác l?m"
Enjoyment,per em ?ã tìm ra gi?i pháp thi?t k? r?i nhé :)))
Sadness,sad c?c m?nh
Enjoyment,per may cho b?n ??????
Sadness,??i ??n ngày h?p l?p ?i ??
Enjoyment,tao thích con trai ??u tóc g?n gàng vãi_ch??ng ??
Enjoyment,"hành ??ng ??p ch? sao , ??ng nào c?ng ti?t ki?m h?n :)) 0"
Enjoyment,ch? ??c v? sau mình ???c vay
Disgust,"b?n bè nói chuy?n c?ng ch?p post facebook , vui không ?"
Sadness,per m?t quá m?y con ?i
Other,nói tóm l?i là nó thích ?? ?âu thì nó ?? mình thích thì mình g?i công an . ch? mình không có quy?n
Sadness,"m?i ?ây m? tao giúp tao làm l?i gi?y khai sinh . m? có h?i "" mày sinh ngày m?y ?? m? làm ""??"
Other,tôi mu?n có m?t m?i tình bình d? .
Fear,hú h?n chim én :))
Sadness,ph?i có bao nhiêu tình c?m m?i có th? vi?t ra ???c nh?ng dòng này ...
Disgust,"b? bi?n thì r?ng , có nh?ng ch? mày vi?t có th? r?t lâu sau m?i b? l?p ?i t?i sao ch?n ch? khó kh?n nh?t v?y . th?o nào ?éo bao gi? có ng??i yêu :))"
Sadness,m?t mõi ??
Enjoyment,?ã th? và r?t thích thú ??.
Surprise,"?a b?t ng? ?ây , thanh niên nào ?ây =))))"
Enjoyment,con này ch?m sóc n là n bao ??p ><
Anger,"dume , ph?i con tao thì ?éo bao gi? chúng mày có c? h?i xin l?i luôn ."
Disgust,"thi?t ra b?n mày ??p h?n , vì màt ch? ???c cái l?ng dài l??i bi?ng thui ????"
Sadness,móng tay và tóc theo th?i gian thì m?c càng dài t?i sao ch? có con chim là nó không m?c dài h?n n?a ta
Enjoyment,tuy?t th?t
Sadness,n?m nay vào quán net ng?i cho ?? ph?i nhìn .....??
Enjoyment,bé tí mà ?ã có múi r?i :)))
Other,gi? nín ngay không ? vi?c gì ph?i khóc
Enjoyment,"ch?ng ph?i chuy?n hài nh?ng sao tao th?y bu?n c??i quá , ch?c th?n kinh có v?n ??"
Enjoyment,chu?n không can chinh
Anger,liên quan ?éo gì . trung thu t?t ?oàn viên gia ?ình ch? ?oàn viên ng??i yêu ?éo ?âu .
Other,cái ??ng h? m?i ng??i cho em h?i giá bao nhiêu ?
Other,c? í ?? sai thì m? c? báo chính quy?n thôi
Other,tao ch?a nghe nói kính thu? l?c bai gi? .
Disgust,"khi?n trách là b? m?ng r?i má , l?i còn b?t chép ph?t ác th?t"
Enjoyment,d?m ba cái k?u ?ây h?i nh? tao ??t ch?y vài á mà ??
Enjoyment,c?ng gì ?âu
Disgust,2 chúng mày yêu nhau ch?c t?c b?n fa t?i tao thêm cay ch? an ?i ?éo gì
Enjoyment,per kkkk
Sadness,tao c?a ngày này n?m tr??c ?ang ??c ??ng l?y qu? tím ?em ra th? nghi?m . :(
Other,thính th?m không
Sadness,ôi không ??ng v?y mà :((
Anger,"sao mày không vi?t nhanh lên , mày l?y tay ch?n làm gì có giúp mày t?t h?n không h? ???"
Enjoyment,nghe anh ?y n?i chuy?n r?t thuy?t ph?c
Other,khi nào tao nhìn con xò lông bánh bèo mà tao không m?c ói . thì khi ?ó tao l?y
Other,có th? là nó yêu mày :))
Enjoyment,per ?i b?n ?i quà sinh nh?t mình ?ây r?iiiii
Enjoyment,ai cho mình xin page c?a con này v?i thích xem nó live stream bán ?? gê
Other,cho nó ?i tr?ng l?i 10 ha và ch?m sóc cho t?i khi cây l?n b?ng núc chúng nó b?m ch?t
Disgust,toàn b?n óc chó . không có l??ng tâm . sao chúng nó l?i làm nh? v?y không ngh? h?u qu? sau này sao .
Anger,"b?o không ly hôn c? mà ??, dma ch?i nhau à"
Other,c?n ph?i t?nh táo
Other,per th?t s? là có cách nào d?t bé ?i theo ???c không ? ??
Enjoyment,"thâ ? tao ra thi ? nê ? u 1 th? ? ng??i con trai no ? yêu mày va ? coi tro ? ng??i mày , câ ? n mày thi ? mày co ? qua ? i thai thê ? na ? o no ? cu ? ng??i chi ? u ??? ? c va ? cô ? g? ? ng??i la ? mày mày vui ??"
Enjoyment,phim nay xem r?t nhi?u lân nh?ng quá hay v?n mu?n s? ti?p t?c xem
Enjoyment,thôi thì ?i xem avenger l?n 3 ?? tránh nóng n?t chi?u nay không mai m?a r?i hehee
Other,cho xin tí mu?i ?
Fear,sao không c?t móng chân cho em ... nhìn m?t cute mà th?y móng chân em s? ph?t
Enjoyment,?ã t?ng xem em là t?t c? . m?i khi m?i m?t v? th?y em và con c??i là anh h?nh phúc r?i
Disgust,n?m ?ó mà m? ??
Enjoyment,duyên quá nói chuy?n hay
Disgust,"?m ph?t 200 tri?u ??ng không có ti?n ?óng ph?t 12 tháng tù cho bi?t , câu thích câu view d? b?n cho cá nhân mình"
Disgust,g?t quá nha ??
Other,??ng trách anh vô tình vì em ?ã vô tâm
Surprise,"wow , ??p d? v?y à hehe"
Enjoyment,"ng?i ch? m?t ng??i ?i qua 1 và coi ?ó nh? 1 s? tình c? ?????? tao ?ã t?ng , nh?ng ?ó là tao c?a ngày x?a . bu?n c??i th?t ??"
Other,"thôi , không tranh cãi , không l?i các bác . nói chung không c?m thì ?? , còn ?? ?? làm gì thì do ? th?c m?i ng??i"
Sadness,khóc vãi ??
Disgust,"vi?c c?a ông v? gi? là mua nhi?u th?t nhi?u cigar và lên chùa xây cái am trung nguyên thi?n ??nh ti?p ?i qua ?i , qua qu?y quá r?i ?? cho v? và 4 con ti?p qu?n ???c r?i qua ?i ."
Disgust,c?ng là ninja nh? nhau mà c?ng h?n thua làm gì v?y tr?i
Enjoyment,và vui m?ng h?n khi bi?t tin ch? v? ? nhà v?a sinh h? em bé ???c 1 tu?n
Disgust,l?i là bà hàng xóm ??
Anger,b?n óc v?t ?? ??ng vào con cháu nhà tao th?
Enjoyment,hay . ?? m?t
Disgust,"th? ?àn ông có th??ng g?c ngã tr??c m?t ??a con gái x?u không ? v?y nên ?ó là chuy?n th??ng tình , ?àn ông mê s?c ?àn bà mê ti?n , m?i gi?i m?t ?am mê , ?ó là công b?ng , khi nào mày yêu m?t con x?u ?i r?i hãy nói ??o lol"
Surprise,per nhìn quen quen mày ?i
Disgust,mà ô ch? xe c?ng ngu vãi . m?t công ??u thì ??u h?n ra gi?a ???ng day . ?? cho nó ?? m?t công v? l?i ph?i m?t công ?i ??i tu
Enjoyment,gv có tâm vãi ??
Enjoyment,c?u mong chú có cu?c s?ng t?t h?n ?
Other,"b?n bè thì nó h?i han , hay nh?n tin thôi .. h?i tr??c hay ?o t??ng l?m , nh?ng gi? l?n nên h?t tr? trâu r?i ??"
Enjoyment,kh?p vãi =))))))) m?t con bé
Other,m?ng nh?n ch?c ?óng kín r?i nh?
Fear,tao ?éo ghê con r?n tao ghê m?y cái tr?i lên kìa :)))
Enjoyment,ngày ?y c?ng t?ng nh? v?y ??
Enjoyment,"tao bi?t tr??c là nó s? lao vào màn hình mà , v?y nên tâm v?n t?nh lúc nó lao vào ."
Surprise,qu? m?t d? th??ng d? v?y
Other,"lúc sinh ra r?i , con gái không nói , là con trai thì ?ng s? ph?i ??c mình ch?a ?? ra nó , có thêm ??a tranh v? v?i mình mà ????"
Enjoyment,c?ng x?u ????
Surprise,ng??i ngoài hành tinh nói ti?ng anh ????? nà ní ?????
Enjoyment,"ngh? ??n c?nh m?c áo là c?m th?y m?t c? tu?i thanh xuân , ch?a k? là lúc ng?a thì gãi ki?u gì ????"
Sadness,c? th?y nó là ?n không còn xác thì l?y gì chúng k?p phá . nhìn thèm ? ch?u ???c ??????
Enjoyment,xem video ch? này công nh?n hay và ? ngh?a th?t . gi? lên xem vid m?i bi?t v? tu?i th? ch? này c? c?c th?t ??y
Enjoyment,nó gi?ng tao ghê . g?p tao tao c?ng ch?n mày
Enjoyment,hi?n t?i c?m th?y h?nh phúc khi môi tr??ng làm vi?c toàn ng??i l?y ....
Enjoyment,?úng là m? nhanh g?n d?t khoát
Enjoyment,khúc cu?i c??i l?n ru?t
Enjoyment,m?t con mèo gi?i trí d? ??
Disgust,t?i con này x?u quá không nh?n di?n ???c khuôn m?t
Disgust,"?ã ra tù nh?ng ch?c nh? tù quá , mu?n quay l?i tr?i nên m?c qu? ?? này :v?y"
Enjoyment,anh có tin em gi?n l?i anh không ?
Disgust,ác ??n v?y là cùng
Sadness,khi cô ??n lòng em nh? ai :((
Other,"n?u chi?c xe ?? gi?a c?a nhà tôi nh? trong hình c?a th?t tôi hoàn toàn không có c?m giác gì , k? c? ngày nào c?ng v?y luôn ."
Fear,"?ang ??nh ?i nh? r?ng khôn , nghe ???c tin này th?y ghê r?ng ??"
Sadness,"??c gì boss không co chân lên , tao v?n s? ngh? là boss th?t khí ch?t =)))"
Sadness,xem xong tao ?ã khóc r?t nhi?u
Enjoyment,ha ha ?? ch?t l?m
Surprise,b? này hoàn h?o quá
Enjoyment,??u . tao mê nh?t là gi?ng tuy hòa phú yên . nó luôn mang m?t ?n t??ng sâu s?c . nghe c? thích th? nào ?y
Disgust,l?i ngáo ?á r?i
Sadness,tao thì nói xong l?i th?y ng??i ta không h?ng thú thì l?i l??n
Enjoyment,?? có ???c cái n?m tay tu?i già là bao giông bão c?a tu?i tr? . m?y ai qua ???c bão giông ?
Enjoyment,quan tr?ng là có per luôn t?o ?? khó game cho tôi :))) và không th? thi?u s? tr? giúp c?a các anh em trong team ??
Sadness,?i?u t?i t? là h?c n?a v?i chã ra làm sao
Other,ch? có màn hình là x?u thui
Other,cùng câu h?i .. v? thang máy thì sao nh?
Enjoyment,"m?i ngày ?i làm v? , tôi không v?i vào thang ngay mà th??ng ng?i s?nh t?m 20p ch? ?? ng?m gái xinh cùng tòa ??."
Enjoyment,?ây m?i là công an c?a nhân dân vi?t nam c?m ?n b?n nhi?u ?i?u t?t ??p h?n nhé vanew
Enjoyment,per sau hôm sinh nh?t là có cái này . ngon vãi
Fear,per kinh d? th?y m? luôn nè
Other,tuy h?i fail 1 chút nh?ng r?t có n?ng khi?u l?n lên không ch?ng làm ca s? ?y ch? ??ng ?ùa
Enjoyment,?úng là t?m g??ng xáng ?? con cháu noi theo =))))))
Fear,khi ?ã ?? v? hàn g?n l?i ch?c gì ?ã ???c nh? lúc ??u :'<
Disgust,"tào lao , b?a ??t"
Enjoyment,"chia s? cho anh em , haha"
Enjoyment,cách này nhi?u ng??i áp d?ng quá r?i :)))
Disgust,t??ng bú ???c vài cái thích c?a t?i dân trí th?p thì mình khôn ?
Surprise,doume khó v?y mà c?ng ngh? ra ???c ??
Enjoyment,sao ?nh này nhìn con r?n ?áng yêuc vãi :)))
Fear,sau m?a ra ???ng s? nh?t g?p giun
Enjoyment,per ??a nào ngh? ra ???c cái qcao hay vãi ...
Enjoyment,b?n trai thì ch?a . nh?ng m?i l?n th?ng b?n nó c?t tóc c?o râu thì auto nhìn ??p trai
Disgust,í th?c m?y ??a ?i xem nh? lol .
Sadness,?ã t?ng . và b? ph? nh? 1 con chó ??????????
Disgust,thi?u n?ng ??i cái nón không n?i thì sao ?? n?ng l?c ch?y xe . nhìn là th?y hãm .
Sadness,anh l?y ?i ni?m tin tr? l?i cho em nh?ng gì
Enjoyment,thông minh l?m
Anger,thêm cái trang này ?n c?p ? t??ng c?a tôi
Other,?? ngh? các b?n gi? tr?t t? trong r?p phim !!!!!!
Disgust,cam mà v?t th? ch? có ??ng nhé thôi ?? ngu
Disgust,"t s? t? an ?i t?t c? ch? là di?n thôi , di?n thôi , ?éo th? tin ???c ?âu ??"
Disgust,ngu h?t ph?n thiên h?
Other,tin tao ?i ti?n là th? duy nh?t làm ??ng l?c ?? mày vui :)) tao chia tay xong . c?m m?t vào làm ?? mua s?m và du l?ch :))
Enjoyment,tao th?y con mèo xinh h?n
Enjoyment,cho nó c?n phát xem có thành spider man không ??
Enjoyment,b?p ga hj hj ????????????
Disgust,"t? hành ??ng và l?i nói c?a t?i nh? này không bi?t nên trách ai bây gi? ,, th?i nát m?t th? h?"
Other,s?m bình ph?c nhé
Disgust,c?n b?n là h? không ?áng cho mình trân tr?ng thôi . per
Enjoyment,gi?ng th?ng này vãi :)))
Enjoyment,"n?m nào c? sinh nh?t âm hay d??ng m? c?ng g?i ?i?n cho mình , bà ngo?i trên 80 , bác ru?t mình ??u nh? h?t ??????"
